,Apply,Category,Company,Duration,Link,Location,Posted,Profile,Start,Stipend
28,29 Jan'20,Customer Service,Embibe (Individual Learning Private Limited),6 Months,https://internshala.com/internship/detail/customer-support-internship-in-bangalore-at-embibe-individual-learning-private-limited1579001368,Bangalore,14 Jan'20,Customer Support,Immediately,15000 /Month
29,28 Jan'20,Customer Service,Balj Services Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-jaipur-at-balj-services-private-limited1578995754,Jaipur,14 Jan'20,Customer Service,Immediately,10000-16000 /Month
30,28 Jan'20,Customer Service,Intellinects Ventures Private Limited,3 Months,https://internshala.com/internship/detail/customer-engagement-internship-in-thane-mumbai-at-intellinects-ventures-private-limited1578987792,Thane,14 Jan'20,Customer Engagement,Immediately,6000 /Month
31,29 Jan'20,Customer Service,Eduwaive Foundation,6 Months,https://internshala.com/internship/detail/customer-success-management-internship-in-chandigarh-at-eduwaive-foundation1578953417,Chandigarh,14 Jan'20,Customer Success Management,Immediately,6000 /Month
32,28 Jan'20,Customer Service,IndiaWyn Gaming,3 Months,https://internshala.com/internship/detail/customer-relationship-management-internship-in-mumbai-at-indiawyn-gaming1578920831,Mumbai,13 Jan'20,Customer Relationship Management,Immediately,10000 /Month
33,28 Jan'20,Customer Service,Vlebazaar,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgaon-at-vlebazaar1578659591,Gurgaon,13 Jan'20,Customer Service,Immediately,5000-10000 /Month
34,27 Jan'20,Customer Service,BALJ TECHNOLOGY,6 Months,https://internshala.com/internship/detail/customer-support-internship-in-mohali-at-balj-technology1578912008,Mohali,13 Jan'20,Customer Support,Immediately,18000-24000 /Month
35,27 Jan'20,Customer Service,BetterLives Ventures,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-gurgaon-at-betterlives-ventures1578910933,Gurgaon,13 Jan'20,Customer Service,Immediately,15000-20000 /Month
36,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/customer-success-relationship-management-internship-in-gurgaon-at-moretasks-business-solution-limited1578910803,Gurgaon,13 Jan'20,Customer Success & Relationship Management,Immediately,15000-18000 /Month
37,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/knowledge-process-outsourcing-internship-in-gurgaon-at-moretasks-business-solution-limited1578910746,Gurgaon,13 Jan'20,Knowledge Process Outsourcing,Immediately,15000-20000 /Month
38,27 Jan'20,Customer Service,Moretasks Business Solution Limited,6 Months,https://internshala.com/internship/detail/international-customer-relationship-management-internship-in-gurgaon-at-moretasks-business-solution-limited1578910724,Gurgaon,13 Jan'20,International Customer Relationship Management,Immediately,15000-20000 /Month
39,28 Jan'20,Customer Service,Arttora,2 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-arttora1578656889,Bangalore,13 Jan'20,Customer Service,Immediately,7000-10000 /Month
40,30 Jan'20,Customer Service,Treebo Hotels,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-treebo-hotels1579086183,Bangalore,15 Jan'20,Customer Service,Immediately,16000 /Month
41,28 Jan'20,Customer Service,Think & Learn Private Limited (BYJU'S),3 Months,https://internshala.com/internship/detail/campaign-marketing-internship-in-multiple-locations-at-think-learn-private-limited-byjus1578997149,Delhi,13 Jan'20,Campaign Marketing,Immediately,15000 /Month
42,23 Jan'20,Customer Service,BoAT (Imagine Marketing Private Limited),6 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-boat-imagine-marketing-private-limited1578556593,Delhi,9 Jan'20,Customer Service,Immediately,15000 /Month
43,31 Jan'20,Customer Service,Busibud,6 Months,https://internshala.com/internship/detail/customer-support-internship-in-panchkula-at-busibud1579266911,Panchkula,17 Jan'20,Customer Support,Immediately,18000-22000 /Month
44,1 Feb'20,Customer Service,Hilti India Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-gurgaon-at-hilti-india-private-limited1579258390,Delhi,17 Jan'20,Customer Service,Immediately,20000 /Month
45,1 Feb'20,Customer Service,Eunimart Multichannel Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-hyderabad-at-eunimart-multichannel-private-limited1579255075,Hyderabad,17 Jan'20,Customer Service,Immediately,10000 /Month
46,31 Jan'20,Customer Service,Pipa+Bella,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-mumbai-at-pipa-bella1579243066,Mumbai,17 Jan'20,Customer Service,Immediately,15000 Lump-Sum
47,31 Jan'20,Customer Service,CueLearn,6 Months,https://internshala.com/internship/detail/customer-response-internship-in-bangalore-at-cuelearn1579242620,Bangalore,17 Jan'20,Customer Response,Immediately,15000 /Month
48,31 Jan'20,Customer Service,Globez Professional Solutions Private Limited,6 Months,https://internshala.com/internship/detail/customer-support-internship-in-kolkata-at-globez-professional-solutions-private-limited1579241251,Kolkata,17 Jan'20,Customer Support,Immediately,8000-10000 /Month
49,31 Jan'20,Customer Service,RNFI Services Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-rnfi-services-private-limited1579239492,Delhi,17 Jan'20,Customer Service,Immediately,10000-15000 /Month
50,30 Jan'20,Customer Service,ReleaseMyAd,6 Months,https://internshala.com/internship/detail/customer-care-internship-in-kolkata-bidhannagar-at-releasemyad1579177824,Kolkata,16 Jan'20,Customer Care,Immediately,10000 /Month
51,31 Jan'20,Customer Service,Omegawalk,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-mumbai-at-omegawalk1579168957,Mumbai,16 Jan'20,Customer Service,Immediately,8000-15000 /Month
52,31 Jan'20,Customer Service,Nagpur City Multistate Co.op.cr.soc Limited,6 Months,https://internshala.com/internship/detail/telecalling-internship-in-nagpur-at-nagpur-city-multistate-coopcrsoc-limited1579169868,Nagpur,16 Jan'20,Telecalling,Immediately,8000 /Month
53,31 Jan'20,Customer Service,Healthmug,3 Months,https://internshala.com/internship/detail/customer-service-internship-in-delhi-at-healthmug1579072440,Delhi,16 Jan'20,Customer Service,Immediately,10000 /Month
54,21 Feb'20,Customer Service,Sweeti Chaudhary,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-sweeti-chaudhary1579156200,Bangalore,16 Jan'20,Customer Service,Immediately,10000-15000 /Month
55,21 Feb'20,Customer Service,Sweeti Chaudhary,6 Months,https://internshala.com/internship/detail/front-office-management-internship-in-bangalore-at-sweeti-chaudhary1579155159,Bangalore,16 Jan'20,Front Office Management,Immediately,10000-20000 /Month
56,31 Jan'20,Customer Service,KuberBox Lifestyle Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-jaipur-at-kuberbox-lifestyle-private-limited1579154364,Jaipur,16 Jan'20,Customer Service,15 Feb - 26 Mar'20,10000 /Month
57,29 Jan'20,Customer Service,UPHILL HR Services,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-bangalore-at-uphill-hr-services1579089399,Bangalore,15 Jan'20,Customer Service,Immediately,20000 /Month
58,30 Jan'20,Customer Service,Thanks For The Help,2 Months,https://internshala.com/internship/detail/operations-internship-in-noida-at-thanks-for-the-help1579074052,Noida,15 Jan'20,Operations,Immediately,15000 /Month
59,30 Jan'20,Customer Service,PAS Ventures Private Limited,6 Months,https://internshala.com/internship/detail/customer-service-internship-in-hyderabad-at-pas-ventures-private-limited1578931760,Hyderabad,15 Jan'20,Customer Service,Immediately,5000-8000 /Month
60,29 Jan'20,Customer Service,Atma,3 Months,https://internshala.com/internship/detail/monitoring-and-evaluation-internship-in-pune-mumbai-at-atma1579070835,Pune,15 Jan'20,Monitoring and Evaluation,Immediately,Unpaid
61,30 Jan'20,Customer Service,BetterLives Ventures,6 Months,https://internshala.com/internship/detail/customer-success-operations-internship-in-gurgaon-at-betterlives-ventures1578910976,Gurgaon,15 Jan'20,Customer Success Operations,Immediately,15000-17000 /Month
62,30 Jan'20,Customer Service,BetterLives Ventures,6 Months,https://internshala.com/internship/detail/international-customer-relationship-management-internship-in-gurgaon-at-betterlives-ventures1578910997,Gurgaon,15 Jan'20,International Customer Relationship Management,Immediately,15000-18000 /Month
63,30 Jan'20,Customer Service,Alnourish Healthy Foods Private Limited,3 Months,https://internshala.com/internship/detail/customer-service-part-time-job-internship-at-dwarka-in-alnourish-healthy-foods-private-limited1579068249,Dwarka,15 Jan'20,Customer Service,Immediately,10000 /Month + Incentives
64,29 Jan'20,Customer Service,TapFame,3 Months,https://internshala.com/internship/detail/customer-service-part-time-job-internship-at-indore-in-tapfame1579066352,Indore,15 Jan'20,Customer Service,Immediately,6000-12000 /Month
